Timeframe,ZS_MAE,ZS_RMSE,FT_MAE,FT_RMSE,MAE_Improvement_%,RMSE_Improvement_%
5M,0.4909448658044522,0.7398215442484911,,,,
15M,1.2034208625555038,1.361738578698959,,,,
1H,1.557162208482623,2.116433604064115,,,,
