model,interval,ticker,window,MAE,RMSE,MAPE,sMAPE,error_volatility,directional_accuracy
chronos,15M,INTC,1,0.2328288359374998,0.30142911065104927,1.190081461255178,1.2019791030146045,0.20283536230926694,51.181102362204726
chronos,15M,INTC,10,1.2246362656249996,1.3197367767146073,5.911916195763485,5.7145309858335995,0.49722451946019486,46.45669291338583
chronos,15M,INTC,11,0.6074984218750001,0.6889680089730108,3.0113479979327895,2.9537998567738204,0.33728273945678805,41.732283464566926
chronos,15M,INTC,12,0.8582895390624995,1.2690087505471632,3.9643440327537776,4.128639004337533,1.0477341577014438,51.181102362204726
chronos,15M,INTC,13,1.1371157968749999,1.1803050197177054,4.76373331282389,4.888813258808701,0.31636624988792056,48.818897637795274
chronos,15M,INTC,14,2.0570928203124996,2.202283059966089,7.95957578580283,8.3389458827511,0.7905088846216607,47.24409448818898
chronos,15M,INTC,15,1.4425516093749997,1.5399652030033977,5.9884261422839025,5.790225622880416,0.5418981426639712,44.881889763779526
chronos,15M,INTC,16,0.45557670312500004,0.5080997400967249,1.8685389785670086,1.8897138414706214,0.3042813977774362,49.60629921259843
chronos,15M,INTC,17,0.3205846171875,0.48612117293369345,1.3632103464856973,1.3431892583543925,0.4285768773543422,50.39370078740157
chronos,15M,INTC,18,0.32899361718749964,0.3672347967178255,1.4261307845914395,1.421615618555162,0.36482707605650877,48.031496062992126
chronos,15M,INTC,19,0.6693914687500002,0.7265742281064077,3.01409199409478,2.961257201015598,0.2825334856492938,48.031496062992126
chronos,15M,INTC,2,0.21261299999999989,0.2593432538176961,1.095669603172703,1.09521277357548,0.25450160072838157,46.45669291338583
chronos,15M,INTC,20,0.5561084140624999,0.7152586359852692,2.588957435569107,2.536903529612734,0.5166618249670084,47.24409448818898
chronos,15M,INTC,21,2.41188175,2.539002232136924,12.250679555778273,11.465524584948964,0.8270064498611245,51.96850393700787
chronos,15M,INTC,22,1.1720729374999999,1.3723957937912694,6.216925784764514,6.013922990696084,1.20998359952976,44.09448818897638
chronos,15M,INTC,23,1.4169852031249999,1.5655205578290532,7.257979310651136,6.947621837749048,0.6822667595950649,44.09448818897638
chronos,15M,INTC,24,0.2839121015624999,0.375553111680885,1.417087599953712,1.4062525759907178,0.3526223233334311,48.818897637795274
chronos,15M,INTC,3,1.3917101406249999,1.6701925191030842,6.413380303480045,6.720490773336496,0.9451424950984237,40.94488188976378
chronos,15M,INTC,4,0.9327591015625002,1.2038247978656047,3.819935004168582,3.9444322356774077,0.7672510217789141,55.90551181102362
chronos,15M,INTC,5,1.627836578125,2.11458135095524,6.312513656399708,5.994195325317471,1.4306403435946733,55.118110236220474
chronos,15M,INTC,6,0.5645541093750001,0.6323050123756284,2.2270653783355847,2.2134319074395408,0.6074074325027394,49.60629921259843
chronos,15M,INTC,7,1.0638805703125,1.188177484846655,4.5320501149457755,4.40653703739215,0.5344976430544124,48.818897637795274
chronos,15M,INTC,8,0.2664559687499999,0.36281854917950196,1.1179190221705726,1.1285343351663966,0.3058841799977528,51.96850393700787
chronos,15M,INTC,9,1.0430061015625003,1.3643460530445617,4.644034688355085,4.495417377192563,1.2357917313524909,51.181102362204726
chronos,15M,IONQ,1,0.4078664921875005,0.5008946244276418,0.9730544322349843,0.9727467775965208,0.5008211923293046,58.26771653543307
chronos,15M,IONQ,10,0.6397307890624999,0.782105429467977,3.0217567477731735,2.9598963444694015,0.6309138260373522,49.60629921259843
chronos,15M,IONQ,11,1.1571257187500001,1.455608050339241,6.2527523533380815,5.957087370219564,0.9993100381103299,53.54330708661418
chronos,15M,IONQ,12,2.07380071875,2.6322050448903487,9.460970766359965,10.216395967446852,1.7549581888312125,45.66929133858268
chronos,15M,IONQ,13,1.6494040390625,2.0790659843463377,6.622824676944266,6.982289183242332,1.2808251280144476,47.24409448818898
chronos,15M,IONQ,14,1.9703643046874997,2.387740658173363,8.509178381141405,8.007627228802171,1.45518812030949,43.30708661417323
chronos,15M,IONQ,15,0.7412003515624999,0.9679659022094548,3.4447275545717906,3.3564702493398704,0.8574178729008479,47.24409448818898
chronos,15M,IONQ,16,2.3762884609375003,2.7381035302839956,9.329016715729274,9.936455400490757,1.3699646449229945,47.24409448818898
chronos,15M,IONQ,17,0.954024953125,1.033866980755488,3.8020542193294067,3.8882347272721454,0.3983934270433064,54.330708661417326
chronos,15M,IONQ,18,1.2819419140625001,1.4718134842729176,5.747765305512659,5.533916955498044,0.7231561407531962,45.66929133858268
chronos,15M,IONQ,19,1.15712615625,1.4722615932672258,4.766055771542,4.95016362549893,0.9856143010134546,48.031496062992126
chronos,15M,IONQ,2,0.8926848046875,1.1211296005272677,2.20700638918465,2.1847480958268877,1.06292383668536,52.75590551181102
chronos,15M,IONQ,20,2.3223509843750003,2.5399688962641265,10.553789187622739,9.904038678280228,1.0286534398725704,46.45669291338583
chronos,15M,IONQ,21,1.4720141718750002,1.7047702417723012,6.566720942861048,6.773163728476151,1.399259344879252,46.45669291338583
chronos,15M,IONQ,22,2.1909329843750003,2.58518569985858,8.700472204128411,9.215780681831657,1.8159117173118922,53.54330708661418
chronos,15M,IONQ,23,0.7565592890625004,0.9547686897533458,2.8635806338130463,2.9292414683505843,0.6014660861468334,55.90551181102362
chronos,15M,IONQ,24,0.6613202812500004,0.7596142914079616,2.6704520701050094,2.6282125794212226,0.5421536380306771,51.181102362204726
chronos,15M,IONQ,3,2.21107340625,2.4231936277150865,5.723454635070436,5.533060020690055,1.1545711365668767,45.66929133858268
chronos,15M,IONQ,4,0.7081820859374999,0.9739026293574325,1.915991304089899,1.8836494499159335,0.8320033444162221,52.75590551181102
chronos,15M,IONQ,5,2.4283698437499996,2.601787399756388,7.190150772190449,6.902311766449204,0.9339794299109105,47.24409448818898
chronos,15M,IONQ,6,1.0007293125000003,1.1532756323706226,3.075802924398,3.048460425628946,1.111916942668995,55.118110236220474
chronos,15M,IONQ,7,1.8448446796875002,2.099767030629806,6.240625000093454,5.989098852077553,1.006546043360379,49.60629921259843
chronos,15M,IONQ,8,2.6568250234375004,2.9442033048552014,10.537004379690705,9.921657317013418,1.9397832829700472,47.24409448818898
chronos,15M,IONQ,9,2.200925234375,2.4774456832937326,9.717185726337336,9.146866311202457,1.306086236870049,43.30708661417323
chronos,15M,MSTR,1,7.258743671874998,9.310674608824211,2.159926067019052,2.1221817122760784,6.298864061821753,54.330708661417326
chronos,15M,MSTR,10,15.737231796875005,17.67637158854324,5.2588939591759924,5.37860889901345,15.763148853078434,48.818897637795274
chronos,15M,MSTR,11,27.502226718750002,35.456406058776295,10.834764310090387,9.900184377450147,22.6832418174452,43.30708661417323
chronos,15M,MSTR,12,19.730031796875004,22.06983967796888,7.58490508603107,7.959412731407975,10.192090511224656,47.24409448818898
chronos,15M,MSTR,13,19.504644062500002,25.556087765466195,6.851276537606676,7.267954076891875,16.624426703333015,42.51968503937008
chronos,15M,MSTR,14,12.264688749999998,14.304325258869468,4.289772003878977,4.167319028670464,7.377306290548542,48.818897637795274
chronos,15M,MSTR,15,15.563173437500001,16.93220866365928,5.144021899720273,5.304501758127636,6.732328172027429,49.60629921259843
chronos,15M,MSTR,16,11.133581249999994,14.847624623334422,3.423952799181958,3.5293555319050123,10.035577358519292,50.39370078740157
chronos,15M,MSTR,17,9.623647734375002,10.526923519645617,2.8598226599684895,2.8917039640096576,9.079053820021885,52.75590551181102
chronos,15M,MSTR,18,11.486323203124998,16.571568591715227,3.850399870827592,3.700691368853301,13.118766609929262,57.48031496062992
chronos,15M,MSTR,19,6.896577421875001,8.748204504455519,2.3249504877208156,2.355698392929737,8.05691400388177,58.26771653543307
chronos,15M,MSTR,2,3.1229107812500043,3.8656594665397606,0.9405428861694775,0.9393286543267167,3.697961117728163,55.118110236220474
chronos,15M,MSTR,20,11.501469999999998,14.19858320234182,3.960731817579724,3.8513939376170905,10.785458500052721,51.181102362204726
chronos,15M,MSTR,21,15.716540781250002,19.09084710454692,5.832920118674838,5.589776037338959,11.210738725644068,53.54330708661418
chronos,15M,MSTR,22,26.18384515625,33.61070388921181,10.6275525798838,9.765565527307555,24.282623048884446,51.96850393700787
chronos,15M,MSTR,23,9.75842296875,11.78938405580147,3.4489815545696993,3.4243429625479833,11.589518377022458,48.031496062992126
chronos,15M,MSTR,24,4.9570192968750035,5.7203670526672905,1.593409422859609,1.6098915388732604,3.4015342160462687,52.75590551181102
chronos,15M,MSTR,3,8.963657421874998,10.839599577675289,2.7754044558902664,2.7200259334120465,6.308436640400743,55.118110236220474
chronos,15M,MSTR,4,6.287839843750004,6.966302483203296,1.9239644600107384,1.9064127712490928,5.565245924260141,48.031496062992126
chronos,15M,MSTR,5,5.529064218749999,7.731028835074885,1.6986379939256933,1.6708238696943396,5.866757380063774,55.90551181102362
chronos,15M,MSTR,6,10.876802265624995,15.239028981187607,3.5421927312388837,3.422312585384948,11.134060534531285,56.69291338582677
chronos,15M,MSTR,7,38.499940156250005,41.58208541588608,14.808394647625606,13.613093296850899,15.735570106999463,44.09448818897638
chronos,15M,MSTR,8,9.209266796875,10.76717250517643,3.6364684017798603,3.6495316567659426,10.612062033776564,51.96850393700787
chronos,15M,MSTR,9,16.971171484375,22.70473657738965,6.216697951933876,6.565603811357714,15.588063237438755,40.94488188976378
chronos,15M,MU,1,2.2935089921875003,2.84525548785841,2.448201799528716,2.494710153153949,1.7090731980930665,44.09448818897638
chronos,15M,MU,10,2.2003083749999996,2.420976056585452,2.405613511724321,2.3707812673249213,1.009835690330316,48.031496062992126
chronos,15M,MU,11,2.0197306953125,2.6647411067200832,2.2834508334241055,2.241015950167416,2.142517355580791,51.181102362204726
chronos,15M,MU,12,3.115683625000001,4.329309928770459,3.3013314279223853,3.4072869456919648,3.165369321147114,49.60629921259843
chronos,15M,MU,13,3.7427276406250005,4.5229600108606265,3.775731142066484,3.881542581216845,2.5395190623316806,48.031496062992126
chronos,15M,MU,14,0.9502738437500002,1.1302070788803216,0.9255255053336245,0.9302003047462044,0.9991300273313727,48.818897637795274
chronos,15M,MU,15,1.8403193437500005,2.4805900575500694,1.767656058546875,1.7958626989873376,1.693027549439136,52.75590551181102
chronos,15M,MU,16,4.345768585937501,4.630061029873532,4.541339068187827,4.426706648601194,1.6008759993887824,42.51968503937008
chronos,15M,MU,17,2.0040553515625006,2.519776091646673,2.1653396948136927,2.129270192338041,1.8123315102751243,51.181102362204726
chronos,15M,MU,18,4.1567659453125,4.5512742346671695,4.654166732924635,4.526721306048217,1.8534815982457182,44.09448818897638
chronos,15M,MU,19,1.1451621250000033,1.4000033298448984,1.3047110692597084,1.314303589319284,1.223194020011897,47.24409448818898
chronos,15M,MU,2,1.2258451640625,1.8206543244858808,1.2957489083035358,1.3092638237459684,1.7512482071177355,44.881889763779526
chronos,15M,MU,20,6.011126703125001,7.863240468512911,7.763833453018595,7.268781463422027,5.239333963679604,41.732283464566926
chronos,15M,MU,21,7.153440796875,7.871904971719004,11.016737073965137,10.313253151987627,3.2979267469750773,50.39370078740157
chronos,15M,MU,22,4.197368164062501,4.790004898789065,5.96173493861991,5.9782771653177385,4.789915672697414,48.031496062992126
chronos,15M,MU,23,5.7185359921875,6.1276453801045365,8.20944480229059,7.838491659123912,2.290960456676922,44.881889763779526
chronos,15M,MU,24,4.4271078984375,4.963492092768963,6.27854978939352,6.0396480514627156,2.453809645896115,46.45669291338583
chronos,15M,MU,3,2.7341184453124985,3.3903041907662583,2.9558863596715326,2.889598637000131,2.00468422274662,50.39370078740157
chronos,15M,MU,4,3.6872596171874994,4.365135377178497,3.7620388782456535,3.8627775026013262,2.4126245345506776,42.51968503937008
chronos,15M,MU,5,3.5141587734374995,4.390933178553614,3.320959269322964,3.4090372391537644,2.643773170170523,51.181102362204726
chronos,15M,MU,6,1.614315781249999,2.2976291320052207,1.6186903093724825,1.5927105622062214,1.7709511471486419,51.181102362204726
chronos,15M,MU,7,5.880873445312499,6.152800522390185,6.1928144870712725,5.988907080564829,1.8089449379522948,50.39370078740157
chronos,15M,MU,8,1.7489977890625,2.0637226309009127,1.851905017175809,1.836791561036291,1.8544268074474457,50.39370078740157
chronos,15M,MU,9,1.7538648046874998,2.0165175041848236,1.905091426395764,1.9034759107055674,2.0164882735022536,48.818897637795274
chronos,15M,NVDA,1,5.6287828046875,6.4788492031515235,4.517281836453906,4.653885652700845,3.3580379771179314,47.24409448818898
chronos,15M,NVDA,10,3.5228298671875002,3.945572579905192,3.077690306621313,3.0186970084074822,1.7934016419462684,43.30708661417323
chronos,15M,NVDA,11,2.3818009921874994,3.2305086406431114,2.208754398526263,2.1680869281833495,2.786822072342893,53.54330708661418
chronos,15M,NVDA,12,3.9242996953124996,5.304413854759539,3.434603834052763,3.543852984309692,3.698910851974795,48.031496062992126
chronos,15M,NVDA,13,2.6839784140625005,3.537361870940775,2.238693464755877,2.28263065103576,2.3298408325045785,48.818897637795274
chronos,15M,NVDA,14,6.19697990625,7.286731557387696,5.280514034165037,5.093291662561248,3.9725705766496104,47.24409448818898
chronos,15M,NVDA,15,3.1716656562499996,3.3406417591862865,2.683379933943945,2.7238089010738316,1.0490111191896425,48.031496062992126
chronos,15M,NVDA,16,1.4591574843750001,2.170301615489614,1.235450107597869,1.2316008495498239,2.122389763089578,46.45669291338583
chronos,15M,NVDA,17,3.394315171875001,4.763890353312218,2.9570169438597014,2.872134722472532,3.349365722574624,46.45669291338583
chronos,15M,NVDA,18,2.2428193593750008,2.753666818649541,2.0332404368738417,2.0032225865701863,1.881697906804319,45.66929133858268
chronos,15M,NVDA,19,1.1779400312500017,1.48529239077764,1.1038114144645181,1.096960667868645,1.3776503201883807,50.39370078740157
chronos,15M,NVDA,2,1.3569476562500022,1.8355204619198786,1.0319338281569364,1.0373977832137633,1.8296876524252719,55.90551181102362
chronos,15M,NVDA,20,3.2877576484375,3.9468222543281786,3.153573522717262,3.086742116910072,2.8383926670898902,44.881889763779526
chronos,15M,NVDA,21,6.584244453124999,7.490153214060978,7.051596185375287,6.738240516584251,3.605782493090402,51.181102362204726
chronos,15M,NVDA,22,4.568336210937501,6.141148379475104,4.326260098083876,4.424923090146456,5.935618149427798,51.96850393700787
chronos,15M,NVDA,23,1.5419005937499999,1.8812304825946324,1.4139892269764622,1.417212338637444,1.840833166932064,49.60629921259843
chronos,15M,NVDA,24,1.375338359375001,1.9034262321291355,1.2536915898666554,1.2444008812747855,1.852151533258585,50.39370078740157
chronos,15M,NVDA,3,2.824021718750001,3.420080282623129,2.1432077318232445,2.1099315540195187,1.9292098049760669,46.45669291338583
chronos,15M,NVDA,4,3.8451645312500027,4.477588288958029,2.8108053379218534,2.8650508546858395,2.346001210179499,52.75590551181102
chronos,15M,NVDA,5,1.6812253124999996,2.0185274362243923,1.2044047019014013,1.1956435099567138,1.6226457589103465,48.031496062992126
chronos,15M,NVDA,6,1.640541484374998,2.077962348694362,1.199146833942895,1.189939197511602,1.9301765910753184,55.118110236220474
chronos,15M,NVDA,7,7.4244340625,7.855489621563918,5.744919016236661,5.56502772866494,2.579845951390993,51.96850393700787
chronos,15M,NVDA,8,5.059546484375,6.304240922017731,4.125737274833686,4.002960202644134,4.857817091257519,48.031496062992126
chronos,15M,NVDA,9,3.499091796874999,4.0484635266185025,2.9433402387136542,2.9617181038714864,3.950443643430076,45.66929133858268
chronos,15M,QBTS,1,0.26826061015624997,0.3206271181513902,4.313434895023542,4.446907686192902,0.18246643312567784,43.30708661417323
chronos,15M,QBTS,10,0.1884881796875,0.20597611791691298,3.533535796462757,3.4612854569691125,0.09739257273890614,44.881889763779526
chronos,15M,QBTS,11,0.49467424453125003,0.589799283118431,10.496576615365518,9.758612526721636,0.3318917975089755,46.45669291338583
chronos,15M,QBTS,12,1.0143552796875,1.1682340161191882,16.884880836009604,18.926192656298845,0.5928293218100109,42.51968503937008
chronos,15M,QBTS,13,2.1285495296874997,2.5618281399742417,20.944280931730557,24.46220863625862,1.4255666657266526,40.94488188976378
chronos,15M,QBTS,14,1.7420513632812502,2.0107543309883145,16.580321686124645,14.929917086987357,1.0908861845868683,47.24409448818898
chronos,15M,QBTS,15,1.099094109375,1.3467258412124417,12.839850076715756,11.689659291395092,0.827065379476532,48.818897637795274
chronos,15M,QBTS,16,0.16584549218749994,0.21080511949465608,1.8994315398169748,1.9262565090888857,0.15307768547994477,53.54330708661418
chronos,15M,QBTS,17,0.4629743085937501,0.5540032895202623,5.685443134688262,5.462895690540346,0.3449111953739619,45.66929133858268
