,,MAE,MAE,RMSE,RMSE,MAPE,MAPE
,,mean,std,mean,std,mean,std
model,interval,,,,,,
chronos,15M,3.353,1.7871,4.0707,1.9812,2.8822,1.6151
chronos,1H,4.3098,3.0976,5.1275,3.5238,4.8021,2.5324
chronos,5M,2.1886,1.7578,2.5854,1.9312,1.8996,1.6135
timesfm,15M,3.5536,2.2506,4.1547,2.6821,3.2716,2.2488
timesfm,1H,5.4637,3.1773,6.2767,3.3947,5.5592,3.193
timesfm,5M,2.363,1.9428,2.7229,2.0562,2.0535,1.7761
