Datetime,Open,High,Low,Close,Volume,Dividends,Stock Splits
2025-01-23 04:00:00-05:00,145.3,145.3,144.08,144.38,0,0.0,0.0
2025-01-23 04:15:00-05:00,144.37,144.6,144.13,144.16,0,0.0,0.0
2025-01-23 04:30:00-05:00,144.18,144.6,144.05,144.33,0,0.0,0.0
2025-01-23 04:45:00-05:00,144.38,144.75,144.3,144.4,0,0.0,0.0
2025-01-23 05:00:00-05:00,144.4,144.52,144.25,144.4,0,0.0,0.0
2025-01-23 05:15:00-05:00,144.42,144.6,144.31,144.44,0,0.0,0.0
2025-01-23 05:30:00-05:00,144.44,144.44,144.14,144.16,0,0.0,0.0
2025-01-23 05:45:00-05:00,144.16,144.4,144.09,144.16,0,0.0,0.0
2025-01-23 06:00:00-05:00,144.16,144.35,144.12,144.29,0,0.0,0.0
2025-01-23 06:15:00-05:00,144.31,144.48,144.28,144.33,0,0.0,0.0
2025-01-23 06:30:00-05:00,144.33,144.38,144.13,144.38,0,0.0,0.0
2025-01-23 06:45:00-05:00,144.37,144.69,144.34,144.65,0,0.0,0.0
2025-01-23 07:00:00-05:00,144.65,144.7,144.14,144.48,0,0.0,0.0
2025-01-23 07:15:00-05:00,144.46,144.76,144.35,144.75,0,0.0,0.0
2025-01-23 07:30:00-05:00,144.76,145.0,143.83,144.41,0,0.0,0.0
2025-01-23 07:45:00-05:00,144.41,144.51,144.24,144.36,0,0.0,0.0
2025-01-23 08:00:00-05:00,144.65,147.07,143.8797,144.1207,0,0.0,0.0
2025-01-23 08:15:00-05:00,144.13,144.95,144.12,144.6872,0,0.0,0.0
2025-01-23 08:30:00-05:00,144.71,144.9,144.38,144.78,0,0.0,0.0
2025-01-23 08:45:00-05:00,144.7802,144.91,144.65,144.7,0,0.0,0.0
2025-01-23 09:00:00-05:00,144.7,146.795,138.495,144.67,0,0.0,0.0
2025-01-23 09:15:00-05:00,144.69,145.15,144.38,145.059,0,0.0,0.0
2025-01-23 09:30:00-05:00,145.02000427246094,145.52000427246094,143.72000122070312,145.51499938964844,25686157,0.0,0.0
2025-01-23 09:45:00-05:00,145.52000427246094,145.72000122070312,144.80999755859375,145.35240173339844,8524447,0.0,0.0
2025-01-23 10:00:00-05:00,145.36000061035156,145.889892578125,144.76499938964844,145.875,8230832,0.0,0.0
2025-01-23 10:15:00-05:00,145.875,145.92999267578125,144.85000610351562,145.2899932861328,6923514,0.0,0.0
2025-01-23 10:30:00-05:00,145.29049682617188,146.02999877929688,145.0500030517578,145.90499877929688,5751385,0.0,0.0
2025-01-23 10:45:00-05:00,145.89999389648438,146.2899932861328,145.875,145.97000122070312,5075342,0.0,0.0
2025-01-23 11:00:00-05:00,145.97450256347656,146.1699981689453,145.63999938964844,145.92999267578125,6005441,0.0,0.0
2025-01-23 11:15:00-05:00,145.9300994873047,145.97500610351562,145.32000732421875,145.71499633789062,4402091,0.0,0.0
2025-01-23 11:30:00-05:00,145.7100067138672,146.22000122070312,145.64999389648438,146.1634063720703,3841703,0.0,0.0
2025-01-23 11:45:00-05:00,146.16000366210938,146.3199005126953,145.77000427246094,145.82479858398438,3573040,0.0,0.0
2025-01-23 12:00:00-05:00,145.8249969482422,145.8249969482422,145.52999877929688,145.6999969482422,2599038,0.0,0.0
2025-01-23 12:15:00-05:00,145.70989990234375,145.85000610351562,145.27999877929688,145.3800048828125,2983535,0.0,0.0
2025-01-23 12:30:00-05:00,145.38499450683594,145.39999389648438,144.97999572753906,145.39500427246094,4043346,0.0,0.0
2025-01-23 12:45:00-05:00,145.39500427246094,145.52000427246094,145.36000061035156,145.42999267578125,2288769,0.0,0.0
2025-01-23 13:00:00-05:00,145.42999267578125,145.6649932861328,145.4199981689453,145.63999938964844,2666341,0.0,0.0
2025-01-23 13:15:00-05:00,145.63499450683594,146.11000061035156,145.63499450683594,145.90499877929688,3460869,0.0,0.0
2025-01-23 13:30:00-05:00,145.89999389648438,146.35000610351562,145.8800048828125,146.23989868164062,3445218,0.0,0.0
2025-01-23 13:45:00-05:00,146.2200927734375,146.35000610351562,146.11000061035156,146.25999450683594,2493768,0.0,0.0
2025-01-23 14:00:00-05:00,146.26499938964844,146.3249969482422,146.08999633789062,146.29820251464844,2310168,0.0,0.0
2025-01-23 14:15:00-05:00,146.3000030517578,146.72000122070312,146.25,146.58990478515625,3872001,0.0,0.0
2025-01-23 14:30:00-05:00,146.58999633789062,146.86000061035156,146.41000366210938,146.68499755859375,3488670,0.0,0.0
2025-01-23 14:45:00-05:00,146.68499755859375,146.70989990234375,146.27999877929688,146.28399658203125,3180815,0.0,0.0
2025-01-23 15:00:00-05:00,146.27999877929688,146.5399932861328,146.0,146.4600067138672,5519696,0.0,0.0
2025-01-23 15:15:00-05:00,146.4669952392578,146.6199951171875,146.39999389648438,146.47999572753906,3030494,0.0,0.0
2025-01-23 15:30:00-05:00,146.47500610351562,146.52000427246094,146.1300048828125,146.16000366210938,3658504,0.0,0.0
2025-01-23 15:45:00-05:00,146.1699981689453,147.22999572753906,146.07000732421875,147.1999969482422,12199270,0.0,0.0
2025-01-23 16:00:00-05:00,147.21,147.24,146.65,146.68,0,0.0,0.0
2025-01-23 16:15:00-05:00,146.69,147.22,146.01,146.44,0,0.0,0.0
2025-01-23 16:30:00-05:00,146.469,146.88,146.44,146.72,0,0.0,0.0
2025-01-23 16:45:00-05:00,146.69,146.89,146.68,146.84,0,0.0,0.0
2025-01-23 17:00:00-05:00,146.8495,146.98,146.67,146.79,0,0.0,0.0
2025-01-23 17:15:00-05:00,146.76,155.7173,140.6607,146.6895,0,0.0,0.0
2025-01-23 17:30:00-05:00,146.67,147.22,140.8663,146.63,0,0.0,0.0
2025-01-23 17:45:00-05:00,146.61,146.66,146.48,146.54,0,0.0,0.0
